lat,lon
44.7,7.85
37.6,15.15
38.0333,13.45
43.6625,10.6328
43.4667,11.15
39.2537,9.1606
45.4689,10.535
44.85,7.7167
40.6957,14.5154
41.1,13.8833
41.7264,13.3422
44.25,12.3667
45.9833,12.3
43.07,12.6175
39.1668,8.522
44.7592,8.7856
44.6408,11.185
37.5833,14.9833
43.3139,10.525
43.6833,10.85
40.775,14.475
45.4931,12.1606
45.5619,12.2364
45.5583,8.9477
40.8667,14.4
38.0375,12.5875
40.8,16.9333
37.7297,15.1844
44.3164,9.3237
44.8942,8.8656
37.5667,14.2667
41.0667,16.9167
41.7,15.7333
45.5,12.1
45.5771,9.0814
41.1333,16.55
36.7914,14.7025
37.15,14.3833
39.2897,9.0048
44.8667,10.0667
40.1667,18.1667
40.5667,17.8
39.3103,8.5372
45.1833,7.8833
40.8492,17.1225
40.8,16.7667
43.8475,10.9833
40.8,14.0833
43.2586,13.7585
41.0333,16.9833
45.5333,9.1833
40.65,14.8833
45.5331,12.6448
40.9667,17.1167
45.6167,9.3667
45.35,11.8667
43.6296,13.3968
37.9833,13.7
45.65,11.3
41.7167,13.6167
44.2012,12.4007
45.7,9.2167
41.05,13.9167
45.5667,9.0333
44.5925,10.6878
40.9167,14.15
45.4161,10.3917
44.7717,10.7806
42.4181,14.2919
45.5203,11.3397
42.6833,14.0167
43.75,11.3167
41.0667,17.0833
45.6847,9.7178
45.3833,11.0333
41.1173,16.4837
44.4808,11.0022
45.1929,11.3115
40.75,14.5
45.7833,12.8333
45.7,9.1833
41.5,13.0667
43.5234,11.5679
44.55,7.7333
40.7417,14.6722
45.7072,11.4786
42.048,13.9262
40.2667,18.05
43.7903,7.6083
44.0491,8.213
36.8833,15.0833
37.6453,14.8636
45.4603,8.8766
41.7022,12.6925
42.7525,13.9567
40.85,14.4775
43.9452,10.2183
44.8873,11.066
39.1752,8.9709
45.6,9.2333
45.4,10.5
37.2833,15
45.65,9.6
45.6667,9.1667
45.6474,9.1387
45.4622,7.8747
37.5833,15.1
41.5667,13.3333
45,7.5333
45.5833,9.2
45.5037,11.412
43.7333,10.8
42.0337,12.6444
42.3557,14.4036
45.45,11.9833
45.3833,11.7833
37.0833,15.15
37.1936,13.7658
40.9362,14.2993
37.4833,13.9833
41.8167,12.6833
41.1528,15.0889
44.3833,7.8167
43.8667,10.3333
40.5,16.75
40.8369,8.4014
40.7833,14.7667
36.7167,15.1
44.7,12.1833
44.0633,12.4466
44.1136,9.96
43.2756,11.9881
39.8167,16.2
46.7167,11.65
40.8,14.55
45.6667,12.15
40.3583,14.9833
41.8333,12.9
37.3833,14.3667
45.7,8.4667
41.6028,14.2397
43.4225,11.1267
46.1697,9.87
44.65,7.6333
44.6131,11.8364
45.5467,12.1575
45.5833,9.1333
41.05,16.7
41.0108,14.1319
43.129,12.2877
41.75,13.15
45.4,11.2833
41.7287,13.0031
46.0667,11.2333
42.9189,10.7614
41.2333,13.9333
36.8167,14.95
43.3986,13.5525
44.9927,10.7494
43.8667,10.8167
41.6833,13.25
39.2994,9.0918
45.4333,9.0667
40.6667,14.4333
44.3978,11.5894
46.0167,11.9
43.775,11.4375
40.9,16.85
45.4333,8.7333
40.0556,17.9917
41.2167,13.5667
43.8828,10.7711
41.2998,13.0248
45.5,9.0333
45.5333,9.4
45.5167,9.75
45.7808,12.4928
41.8,12.6667
39.5,16.3833
41.6833,13.4167
41.1833,16.6667
43.7667,11.1
42.7167,12.1
39.4,16.15
45.0333,7.5333
42.0455,14.7315
45.6486,11.7836
45.4667,10.85
40.75,13.95
45.3619,11.7924
38.4333,15.9
40.0167,18.1667
38.0833,13.45
44.9267,10.52
45.6,9.8833
45.55,9.1667
45.5333,9.1333
45.9541,12.5027
45.2977,12.0368
40.9762,14.1773
40.65,17.5167
41.2667,13.75
40.95,16.9167
39.2568,9.1387
44.8167,9.9833
40.7333,14.55
44.6761,8.4686
43.9017,10.6898
40.8838,17.1679
36.7303,14.8467
45.05,12.05
42.0883,12.2775
